RSBSA ID,Full Name,Barangay,Crop Type,Initials
"RSBSA-2026-0001","Juan Dela Cruz","Poblacion","Rice","JC"
"RSBSA-2026-0002","Maria Santos","Sto. Nino","Corn","MS"
"RSBSA-2026-0003","Pedro Garcia Reyes","Buhisan","Coconut","PR"
"RSBSA-2026-0004","Luz M. Velasco","Poblacion","Vegetables","LV"
"RSBSA-2026-0005","Ramon Alvarez","San Isidro","Rice","RA"
"RSBSA-2026-0006","Ana R. Mendoza","Poblacion","Rice","AM"
"RSBSA-2026-0007","Jose Villanueva","San Jose","Corn","JV"
"RSBSA-2026-0008","Teresa L. Dizon","Sto. Nino","Vegetables","TD"
"RSBSA-2026-0009","Ricardo P. Lopez","Buhisan","Coconut","RL"
"RSBSA-2026-0010","Delia Fortuna","San Vicente","Rice","DF"

